{SimaPro 8.3.0.0};;;;;
{methods};;;;;
{Date: 11/02/2019};;;;;
{Time: 15:42:39};;;;;
{Project: Methods};;;;;
{CSV Format version: 8.0.5};;;;;
{CSV separator: Semicolon};;;;;
{Decimal separator: .};;;;;
{Date separator: /};;;;;
{Short date format: dd/MM/yyyy};;;;;
{Selection: Selection (1)};;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;
{Include sub product stages and processes: No};;;;;
{Open library: 'Methods'};;;;;
;;;;;
Method;;;;;
;;;;;
Name;;;;;
AWARE;;;;;
;;;;;
Version;;;;;
1;2;;;;
;;;;;
Comment;;;;;
AWARE (Available WAter REmaining) is the recommended method from WULCA to assess water consumption impact assessment in LCA. In May 2016, the method was also endorsed by the EU Joint Research Center.AWARE is to be used as a water use midpoint indicator representing the relative Available WAter REmaining per area in a watershed after the demand of humans and aquatic ecosystems has been met. It assesses the potential of water deprivation, to either humans or ecosystems, building on the assumption that the less water remaining available per area, the more likely another user will be deprived. It is first calculated as the water Availability Minus the Demand (AMD) of humans and aquatic ecosystems and is relative to the area (m3 m-2 month-1). In a second step, the value is normalized with the world average result (AMD = 0.0136m3 m-2 month-1) and inverted. The result represents the relative value in comparison with the average m3 consumed in the world (the world average is calculated as a consumption-weighted average). The indicator is limited to a range from 0.1 to 100, with a value of 1 corresponding to the world average, and a value of 10, for example, representing a region where there is 10 times less available water remaining per area than the world average.Documentation is available from: http://www.wulca-waterlca.orgPLEASE NOTE! Implementation of AWARE in SimaPro includes only the generic factors for unknown water usage and not the factors specific for agricultural and non-agricultural use of water (irrigation/non-irrigation, these are currently not supported in SimaPro and its inventory data). The second set can be used to reduce uncertainty when specific watershed or month is not known, based on the activity's water use pattern. The CSV file with full version of the method, including those additional flows, can be downloaded from http://www.wulca-waterlca.org/project.html and imported to SimaPro. Note that this is only useful if you have data available in your model that support the additional flows.Adaptations by PRé Consultants:- 7 aluminium producing regions were included in order to fit the inventories. They were given the factors of the following regions:   IAI Area, Africa -> Africa   IAI Area, Asia, without China and GCC -> Asia   IAI Area, EU27 & EFTA -> Europe   IAI Area, Gulf Cooperation Council -> Middle East   IAI Area, North America, without Quebec -> North America   IAI Area, Russia & RER w/o EU27 & EFTA -> Europe   IAI Area, South America -> South AmericaOther adaptation (March 2017, version 1.01):- Changed the subcompartment for the Raw materials - from 'in water' to '(unspecified)'. - Removed the Waterborne emissions flows for subcompartments 'groundwater', 'lake' and 'river' as they had the same factors as subcompartment '(unspecified)'. - Added the Waterborne emissions flows for subcompartment 'ocean' with factor 0.;;;;;
;;;;;
Category;;;;;
Water footprint;;;;;
;;;;;
Use Damage Assessment;;;;;
No;;;;;
;;;;;
Use Normalization;;;;;
No;;;;;
;;;;;
Use Weighting;;;;;
No;;;;;
;;;;;
Use Addition;;;;;
No;;;;;
;;;;;
Impact category;;;;;
Water use;m3;;;;
;;;;;
Substances;;;;;
Water;(unspecified);Water;007732-18-5;-0.042953531;kg
Water;ocean;Water;007732-18-5;0;kg
Raw;(unspecified);Water, cooling, unspecified natural origin/m3;007732-18-5;20.30408632;m3
Raw;(unspecified);Water, lake;007732-18-5;42.95353087;m3
Raw;(unspecified);Water, river;007732-18-5;42.95353087;m3
Raw;(unspecified);Water, turbine use, unspecified natural origin;007732-18-5;20.30408632;m3
Raw;(unspecified);Water, unspecified natural origin/m3;007732-18-5;42.95353087;m3
Raw;(unspecified);Water, well, in ground;007732-18-5;42.95353087;m3
Water;(unspecified);Water/m3;007732-18-5;-42.95353087;m3
Water;ocean;Water/m3;007732-18-5;0;m3
Water;(unspecified);Water, agri;007732-18-5;-0.045736878;kg
Water;ocean;Water, agri;007732-18-5;0;kg
Raw;(unspecified);Water, lake, agri;007732-18-5;45.73687803;m3
Raw;(unspecified);Water, river, agri;007732-18-5;45.73687803;m3
Raw;(unspecified);Water, unspecified natural origin/m3, agri;007732-18-5;45.73687803;m3
Raw;(unspecified);Water, well, in ground, agri;007732-18-5;45.73687803;m3
Water;(unspecified);Water/m3, agri;007732-18-5;-45.73687803;m3
Water;ocean;Water/m3, agri;007732-18-5;0;m3
Water;(unspecified);Water, non-agri;007732-18-5;-0.020304086;kg
Water;ocean;Water, non-agri;007732-18-5;0;kg
Raw;(unspecified);Water, lake, non-agri;007732-18-5;20.30408632;m3
Raw;(unspecified);Water, river, non-agri;007732-18-5;20.30408632;m3
Raw;(unspecified);Water, unspecified natural origin/m3, non-agri;007732-18-5;20.30408632;m3
Raw;(unspecified);Water, well, in ground, non-agri;007732-18-5;20.30408632;m3
Water;(unspecified);Water/m3, non-agri;007732-18-5;-20.30408632;m3
Water;ocean;Water/m3, non-agri;007732-18-5;0;m3
Water;ocean;Water, GLO;007732-18-5;0;m3
Water;ocean;Water, agri, GLO;007732-18-5;0;m3
Water;ocean;Water, non-agri, GLO;007732-18-5;0;m3
Water;(unspecified);Water, AF;007732-18-5;-58.93545699;m3
Water;(unspecified);Water, AL;007732-18-5;-34.1634943;m3
Water;(unspecified);Water, DZ;007732-18-5;-64.1718013;m3
Water;(unspecified);Water, AS;007732-18-5;-4.417532544;m3
Water;(unspecified);Water, AD;007732-18-5;-56.33081794;m3
Water;(unspecified);Water, AO;007732-18-5;-5.788541614;m3
Water;(unspecified);Water, AI;007732-18-5;-22.37208753;m3
Water;(unspecified);Water, AG;007732-18-5;-5.759905112;m3
Water;(unspecified);Water, AR;007732-18-5;-30.14148181;m3
Water;(unspecified);Water, AM;007732-18-5;-85.7529007;m3
Water;(unspecified);Water, AW;007732-18-5;0;m3
